[ 6 16 16  6] -2.0
[ 6  6 16 16] 4.0
[ 6 17 17  6] -2.0
[ 6  6 17 17] 4.0
[ 6 18 18  6] -2.0
[ 6  6 18 18] 4.0
[ 6 19 19  6] -2.0
[ 6  6 19 19] 4.0
[ 6 20 20  6] -2.0
[ 6  6 20 20] 4.0
[ 6 21 21  6] -2.0
[ 6  6 21 21] 4.0
[ 6 22 22  6] -2.0
[ 6  6 22 22] 4.0
[ 6 23 23  6] -2.0
[ 6  6 23 23] 4.0
[ 6 24 24  6] -2.0
[ 6  6 24 24] 4.0
[ 6 25 25  6] -2.0
[ 6  6 25 25] 4.0
[ 6 26 26  6] -2.0
[ 6  6 26 26] 4.0
[ 6 27 27  6] -2.0
[ 6  6 27 27] 4.0
[ 6 28 28  6] -2.0
[ 6  6 28 28] 4.0
[ 6 29 29  6] -2.0
[ 6  6 29 29] 4.0
[ 6 30 30  6] -2.0
[ 6  6 30 30] 4.0
[ 6 31 31  6] -2.0
[ 6  6 31 31] 4.0
[ 6 32 32  6] -2.0
[ 6  6 32 32] 4.0
[ 6 33 33  6] -2.0
[ 6  6 33 33] 4.0
[ 6 34 34  6] -2.0
[ 6  6 34 34] 4.0
[7 7 0 0] 4.0
[7 0 0 7] -2.0
[7 7 1 1] 4.0
[7 1 1 7] -2.0
[7 7 2 2] 4.0
[7 2 2 7] -2.0
[7 7 3 3] 4.0
[7 3 3 7] -2.0
[7 7 4 4] 4.0
[7 4 4 7] -2.0
[7 7 5 5] 4.0
[7 5 5 7] -2.0
[7 7 6 6] 4.0
[7 6 6 7] -2.0
[7 7 7 7] 2.0
[7 8 8 7] -2.0
[7 7 8 8] 4.0
[7 9 9 7] -2.0
[7 7 9 9] 4.0
[ 7 10 10  7] -2.0
[ 7  7 10 10] 4.0
[ 7 11 11  7] -2.0
[ 7  7 11 11] 4.0
[ 7 12 12  7] -2.0
[ 7  7 12 12] 4.0
[ 7 13 13  7] -2.0
[ 7  7 13 13] 4.0
[ 7 14 14  7] -2.0
[ 7  7 14 14] 4.0
[ 7 15 15  7] -2.0
[ 7  7 15 15] 4.0
[ 7 16 16  7] -2.0
[ 7  7 16 16] 4.0
[ 7 17 17  7] -2.0
[ 7  7 17 17] 4.0
[ 7 18 18  7] -2.0
[ 7  7 18 18] 4.0
[ 7 19 19  7] -2.0
[ 7  7 19 19] 4.0
[ 7 20 20  7] -2.0
[ 7  7 20 20] 4.0
[ 7 21 21  7] -2.0
[ 7  7 21 21] 4.0
[ 7 22 22  7] -2.0
[ 7  7 22 22] 4.0
[ 7 23 23  7] -2.0
[ 7  7 23 23] 4.0
[ 7 24 24  7] -2.0
[ 7  7 24 24] 4.0
[ 7 25 25  7] -2.0
[ 7  7 25 25] 4.0
[ 7 26 26  7] -2.0
[ 7  7 26 26] 4.0
[ 7 27 27  7] -2.0
[ 7  7 27 27] 4.0
[ 7 28 28  7] -2.0
[ 7  7 28 28] 4.0
[ 7 29 29  7] -2.0
[ 7  7 29 29] 4.0
[ 7 30 30  7] -2.0
[ 7  7 30 30] 4.0
[ 7 31 31  7] -2.0
[ 7  7 31 31] 4.0
[ 7 32 32  7] -2.0
[ 7  7 32 32] 4.0
[ 7 33 33  7] -2.0
[ 7  7 33 33] 4.0
[ 7 34 34  7] -2.0
[ 7  7 34 34] 4.0
[8 8 0 0] 4.0
[8 0 0 8] -2.0
[8 8 1 1] 4.0
[8 1 1 8] -2.0
[8 8 2 2] 4.0
[8 2 2 8] -2.0
[8 8 3 3] 4.0
[8 3 3 8] -2.0
[8 8 4 4] 4.0
[8 4 4 8] -2.0
[8 8 5 5] 4.0
[8 5 5 8] -2.0
[8 8 6 6] 4.0
[8 6 6 8] -2.0
[8 8 7 7] 4.0
[8 7 7 8] -2.0
[8 8 8 8] 2.0
[8 9 9 8] -2.0
[8 8 9 9] 4.0
[ 8 10 10  8] -2.0
[ 8  8 10 10] 4.0
[ 8 11 11  8] -2.0
[ 8  8 11 11] 4.0
[ 8 12 12  8] -2.0
[ 8  8 12 12] 4.0
[ 8 13 13  8] -2.0
[ 8  8 13 13] 4.0
[ 8 14 14  8] -2.0
[ 8  8 14 14] 4.0
[ 8 15 15  8] -2.0
[ 8  8 15 15] 4.0
[ 8 16 16  8] -2.0
[ 8  8 16 16] 4.0
[ 8 17 17  8] -2.0
[ 8  8 17 17] 4.0
[ 8 18 18  8] -2.0
[ 8  8 18 18] 4.0
[ 8 19 19  8] -2.0
[ 8  8 19 19] 4.0
[ 8 20 20  8] -2.0
[ 8  8 20 20] 4.0
[ 8 21 21  8] -2.0
[ 8  8 21 21] 4.0
[ 8 22 22  8] -2.0
[ 8  8 22 22] 4.0
[ 8 23 23  8] -2.0
[ 8  8 23 23] 4.0
[ 8 24 24  8] -2.0
[ 8  8 24 24] 4.0
[ 8 25 25  8] -2.0
[ 8  8 25 25] 4.0
[ 8 26 26  8] -2.0
[ 8  8 26 26] 4.0
[ 8 27 27  8] -2.0
[ 8  8 27 27] 4.0
[ 8 28 28  8] -2.0
[ 8  8 28 28] 4.0
[ 8 29 29  8] -2.0
[ 8  8 29 29] 4.0
[ 8 30 30  8] -2.0
[ 8  8 30 30] 4.0
[ 8 31 31  8] -2.0
[ 8  8 31 31] 4.0
[ 8 32 32  8] -2.0
[ 8  8 32 32] 4.0
[ 8 33 33  8] -2.0
[ 8  8 33 33] 4.0
[ 8 34 34  8] -2.0
[ 8  8 34 34] 4.0
[9 9 0 0] 4.0
[9 0 0 9] -2.0
[9 9 1 1] 4.0
[9 1 1 9] -2.0
[9 9 2 2] 4.0
[9 2 2 9] -2.0
[9 9 3 3] 4.0
[9 3 3 9] -2.0
[9 9 4 4] 4.0
[9 4 4 9] -2.0
[9 9 5 5] 4.0
[9 5 5 9] -2.0
[9 9 6 6] 4.0
[9 6 6 9] -2.0
[9 9 7 7] 4.0
[9 7 7 9] -2.0
[9 9 8 8] 4.0
[9 8 8 9] -2.0
[9 9 9 9] 2.0
[ 9 10 10  9] -2.0
[ 9  9 10 10] 4.0
[ 9 11 11  9] -2.0
[ 9  9 11 11] 4.0
[ 9 12 12  9] -2.0
[ 9  9 12 12] 4.0
[ 9 13 13  9] -2.0
[ 9  9 13 13] 4.0
[ 9 14 14  9] -2.0
[ 9  9 14 14] 4.0
[ 9 15 15  9] -2.0
[ 9  9 15 15] 4.0
[ 9 16 16  9] -2.0
[ 9  9 16 16] 4.0
[ 9 17 17  9] -2.0
[ 9  9 17 17] 4.0
[ 9 18 18  9] -2.0
[ 9  9 18 18] 4.0
[ 9 19 19  9] -2.0
[ 9  9 19 19] 4.0
[ 9 20 20  9] -2.0
[ 9  9 20 20] 4.0
[ 9 21 21  9] -2.0
[ 9  9 21 21] 4.0
[ 9 22 22  9] -2.0
[ 9  9 22 22] 4.0
[ 9 23 23  9] -2.0
[ 9  9 23 23] 4.0
[ 9 24 24  9] -2.0
[ 9  9 24 24] 4.0
[ 9 25 25  9] -2.0
[ 9  9 25 25] 4.0
[ 9 26 26  9] -2.0
[ 9  9 26 26] 4.0
[ 9 27 27  9] -2.0
[ 9  9 27 27] 4.0
[ 9 28 28  9] -2.0
[ 9  9 28 28] 4.0
[ 9 29 29  9] -2.0
[ 9  9 29 29] 4.0
[ 9 30 30  9] -2.0
[ 9  9 30 30] 4.0
[ 9 31 31  9] -2.0
[ 9  9 31 31] 4.0
[ 9 32 32  9] -2.0
[ 9  9 32 32] 4.0
[ 9 33 33  9] -2.0
[ 9  9 33 33] 4.0
[ 9 34 34  9] -2.0
[ 9  9 34 34] 4.0
[10 10  0  0] 4.0
[10  0  0 10] -2.0
[10 10  1  1] 4.0
[10  1  1 10] -2.0
[10 10  2  2] 4.0
[10  2  2 10] -2.0
[10 10  3  3] 4.0
[10  3  3 10] -2.0
[10 10  4  4] 4.0
[10  4  4 10] -2.0
[10 10  5  5] 4.0
[10  5  5 10] -2.0
[10 10  6  6] 4.0
[10  6  6 10] -2.0
[10 10  7  7] 4.0
[10  7  7 10] -2.0
[10 10  8  8] 4.0
[10  8  8 10] -2.0
[10 10  9  9] 4.0
[10  9  9 10] -2.0
[10 10 10 10] 2.0
[10 11 11 10] -2.0
[10 10 11 11] 4.0
[10 12 12 10] -2.0
[10 10 12 12] 4.0
[10 13 13 10] -2.0
[10 10 13 13] 4.0
[10 14 14 10] -2.0
[10 10 14 14] 4.0
[10 15 15 10] -2.0
[10 10 15 15] 4.0
[10 16 16 10] -2.0
[10 10 16 16] 4.0
[10 17 17 10] -2.0
[10 10 17 17] 4.0
[10 18 18 10] -2.0
[10 10 18 18] 4.0
[10 19 19 10] -2.0
[10 10 19 19] 4.0
[10 20 20 10] -2.0
[10 10 20 20] 4.0
[10 21 21 10] -2.0
[10 10 21 21] 4.0
[10 22 22 10] -2.0
[10 10 22 22] 4.0
[10 23 23 10] -2.0
[10 10 23 23] 4.0
[10 24 24 10] -2.0
[10 10 24 24] 4.0
[10 25 25 10] -2.0
[10 10 25 25] 4.0
[10 26 26 10] -2.0
[10 10 26 26] 4.0
[10 27 27 10] -2.0
[10 10 27 27] 4.0
[10 28 28 10] -2.0
[10 10 28 28] 4.0
[10 29 29 10] -2.0
[10 10 29 29] 4.0
[10 30 30 10] -2.0
[10 10 30 30] 4.0
[10 31 31 10] -2.0
[10 10 31 31] 4.0
[10 32 32 10] -2.0
[10 10 32 32] 4.0
[10 33 33 10] -2.0
[10 10 33 33] 4.0
[10 34 34 10] -2.0
[10 10 34 34] 4.0
[11 11  0  0] 4.0
[11  0  0 11] -2.0
[11 11  1  1] 4.0
[11  1  1 11] -2.0
[11 11  2  2] 4.0
[11  2  2 11] -2.0
[11 11  3  3] 4.0
[11  3  3 11] -2.0
[11 11  4  4] 4.0
[11  4  4 11] -2.0
[11 11  5  5] 4.0
[11  5  5 11] -2.0
[11 11  6  6] 4.0
[11  6  6 11] -2.0
[11 11  7  7] 4.0
[11  7  7 11] -2.0
[11 11  8  8] 4.0
[11  8  8 11] -2.0
[11 11  9  9] 4.0
[11  9  9 11] -2.0
[11 11 10 10] 4.0
[11 10 10 11] -2.0
[11 11 11 11] 2.0
[11 12 12 11] -2.0
[11 11 12 12] 4.0
[11 13 13 11] -2.0
[11 11 13 13] 4.0
[11 14 14 11] -2.0
[11 11 14 14] 4.0
[11 15 15 11] -2.0
[11 11 15 15] 4.0
[11 16 16 11] -2.0
[11 11 16 16] 4.0
[11 17 17 11] -2.0
[11 11 17 17] 4.0
[11 18 18 11] -2.0
[11 11 18 18] 4.0
[11 19 19 11] -2.0
[11 11 19 19] 4.0
[11 20 20 11] -2.0
[11 11 20 20] 4.0
[11 21 21 11] -2.0
[11 11 21 21] 4.0
[11 22 22 11] -2.0
[11 11 22 22] 4.0
[11 23 23 11] -2.0
[11 11 23 23] 4.0
[11 24 24 11] -2.0
[11 11 24 24] 4.0
[11 25 25 11] -2.0
[11 11 25 25] 4.0
[11 26 26 11] -2.0
[11 11 26 26] 4.0
[11 27 27 11] -2.0
[11 11 27 27] 4.0
[11 28 28 11] -2.0
[11 11 28 28] 4.0
[11 29 29 11] -2.0
[11 11 29 29] 4.0
[11 30 30 11] -2.0
[11 11 30 30] 4.0
[11 31 31 11] -2.0
[11 11 31 31] 4.0
[11 32 32 11] -2.0
[11 11 32 32] 4.0
[11 33 33 11] -2.0
[11 11 33 33] 4.0
[11 34 34 11] -2.0
[11 11 34 34] 4.0
[12 12  0  0] 4.0
[12  0  0 12] -2.0
[12 12  1  1] 4.0
[12  1  1 12] -2.0
[12 12  2  2] 4.0
[12  2  2 12] -2.0
[12 12  3  3] 4.0
[12  3  3 12] -2.0
[12 12  4  4] 4.0
[12  4  4 12] -2.0
[12 12  5  5] 4.0
[12  5  5 12] -2.0
[12 12  6  6] 4.0
[12  6  6 12] -2.0
[12 12  7  7] 4.0
[12  7  7 12] -2.0
[12 12  8  8] 4.0
[12  8  8 12] -2.0
[12 12  9  9] 4.0
[12  9  9 12] -2.0
[12 12 10 10] 4.0
[12 10 10 12] -2.0
[12 12 11 11] 4.0
[12 11 11 12] -2.0
[12 12 12 12] 2.0
[12 13 13 12] -2.0
[12 12 13 13] 4.0
[12 14 14 12] -2.0
[12 12 14 14] 4.0
[12 15 15 12] -2.0
[12 12 15 15] 4.0
[12 16 16 12] -2.0
[12 12 16 16] 4.0
[12 17 17 12] -2.0
[12 12 17 17] 4.0
[12 18 18 12] -2.0
[12 12 18 18] 4.0
[12 19 19 12] -2.0
[12 12 19 19] 4.0
[12 20 20 12] -2.0
[12 12 20 20] 4.0
[12 21 21 12] -2.0
[12 12 21 21] 4.0
[12 22 22 12] -2.0
[12 12 22 22] 4.0
[12 23 23 12] -2.0
[12 12 23 23] 4.0
[12 24 24 12] -2.0
[12 12 24 24] 4.0
[12 25 25 12] -2.0
[12 12 25 25] 4.0
[12 26 26 12] -2.0
[12 12 26 26] 4.0
[12 27 27 12] -2.0
[12 12 27 27] 4.0
[12 28 28 12] -2.0
[12 12 28 28] 4.0
[12 29 29 12] -2.0
[12 12 29 29] 4.0
[12 30 30 12] -2.0
[12 12 30 30] 4.0
[12 31 31 12] -2.0
[12 12 31 31] 4.0
[12 32 32 12] -2.0
[12 12 32 32] 4.0
[12 33 33 12] -2.0
[12 12 33 33] 4.0
[12 34 34 12] -2.0
[12 12 34 34] 4.0
[13 13  0  0] 4.0
[13  0  0 13] -2.0
[13 13  1  1] 4.0
[13  1  1 13] -2.0
[13 13  2  2] 4.0
[13  2  2 13] -2.0
[13 13  3  3] 4.0
[13  3  3 13] -2.0
[13 13  4  4] 4.0
[13  4  4 13] -2.0
[13 13  5  5] 4.0
[13  5  5 13] -2.0
[13 13  6  6] 4.0
[13  6  6 13] -2.0
[13 13  7  7] 4.0
[13  7  7 13] -2.0
[13 13  8  8] 4.0
[13  8  8 13] -2.0
[13 13  9  9] 4.0
[13  9  9 13] -2.0
[13 13 10 10] 4.0
[13 10 10 13] -2.0
[13 13 11 11] 4.0
[13 11 11 13] -2.0
[13 13 12 12] 4.0
[13 12 12 13] -2.0
[13 13 13 13] 2.0
[13 14 14 13] -2.0
[13 13 14 14] 4.0
[13 15 15 13] -2.0
[13 13 15 15] 4.0
